Recency,Frequency,MonetaryValue,Cluster,customer_id,Description
0,35,-49882.86,0,1,"Segment 0: Customers in this segment have an average Recency of 0.0, an average Frequency of 32.0, and an average Monetary Value of 14587.48. This indicates that they are recently active customers, who purchase occasionally, and spend low."
13,23,15382.22,1,2,"Segment 1: Customers in this segment have an average Recency of 24.01, an average Frequency of 19.44, and an average Monetary Value of 17474.14. This indicates that they are inactive customers, who purchase rarely, and spend moderately."
13,9,5964.92,3,3,"Segment 3: Customers in this segment have an average Recency of 48.22, an average Frequency of 9.79, and an average Monetary Value of 11559.88. This indicates that they are very inactive customers, who purchase rarely, and spend low."
13,48,7797.760000000002,4,4,"Segment 4: Customers in this segment have an average Recency of 13.93, an average Frequency of 37.75, and an average Monetary Value of 28817.47. This indicates that they are recently active customers, who purchase frequently, and spend highly."
13,47,26672.870000000003,4,5,"Segment 4: Customers in this segment have an average Recency of 13.93, an average Frequency of 37.75, and an average Monetary Value of 28817.47. This indicates that they are recently active customers, who purchase frequently, and spend highly."
12,25,543.7600000000011,1,6,"Segment 1: Customers in this segment have an average Recency of 24.01, an average Frequency of 19.44, and an average Monetary Value of 17474.14. This indicates that they are inactive customers, who purchase rarely, and spend moderately."
13,44,64868.840000000004,4,7,"Segment 4: Customers in this segment have an average Recency of 13.93, an average Frequency of 37.75, and an average Monetary Value of 28817.47. This indicates that they are recently active customers, who purchase frequently, and spend highly."
54,11,4043.779999999999,3,8,"Segment 3: Customers in this segment have an average Recency of 48.22, an average Frequency of 9.79, and an average Monetary Value of 11559.88. This indicates that they are very inactive customers, who purchase rarely, and spend low."
12,43,29728.07,4,9,"Segment 4: Customers in this segment have an average Recency of 13.93, an average Frequency of 37.75, and an average Monetary Value of 28817.47. This indicates that they are recently active customers, who purchase frequently, and spend highly."
0,40,48840.33,0,10,"Segment 0: Customers in this segment have an average Recency of 0.0, an average Frequency of 32.0, and an average Monetary Value of 14587.48. This indicates that they are recently active customers, who purchase occasionally, and spend low."
66,10,1681.17,3,11,"Segment 3: Customers in this segment have an average Recency of 48.22, an average Frequency of 9.79, and an average Monetary Value of 11559.88. This indicates that they are very inactive customers, who purchase rarely, and spend low."
63,12,-14465.07,2,12,"Segment 2: Customers in this segment have an average Recency of 30.2, an average Frequency of 22.33, and an average Monetary Value of -10577.59. This indicates that they are very inactive customers, who purchase rarely, and spend low."
12,13,8181.779999999999,3,13,"Segment 3: Customers in this segment have an average Recency of 48.22, an average Frequency of 9.79, and an average Monetary Value of 11559.88. This indicates that they are very inactive customers, who purchase rarely, and spend low."
0,33,15718.029999999999,0,14,"Segment 0: Customers in this segment have an average Recency of 0.0, an average Frequency of 32.0, and an average Monetary Value of 14587.48. This indicates that they are recently active customers, who purchase occasionally, and spend low."
0,19,34035.35,0,15,"Segment 0: Customers in this segment have an average Recency of 0.0, an average Frequency of 32.0, and an average Monetary Value of 14587.48. This indicates that they are recently active customers, who purchase occasionally, and spend low."
22,20,5022.42,1,16,"Segment 1: Customers in this segment have an average Recency of 24.01, an average Frequency of 19.44, and an average Monetary Value of 17474.14. This indicates that they are inactive customers, who purchase rarely, and spend moderately."
12,15,-3439.4000000000005,2,17,"Segment 2: Customers in this segment have an average Recency of 30.2, an average Frequency of 22.33, and an average Monetary Value of -10577.59. This indicates that they are very inactive customers, who purchase rarely, and spend low."
192,24,5489.6500000000015,1,18,"Segment 1: Customers in this segment have an average Recency of 24.01, an average Frequency of 19.44, and an average Monetary Value of 17474.14. This indicates that they are inactive customers, who purchase rarely, and spend moderately."
13,41,70920.79,4,19,"Segment 4: Customers in this segment have an average Recency of 13.93, an average Frequency of 37.75, and an average Monetary Value of 28817.47. This indicates that they are recently active customers, who purchase frequently, and spend highly."
