loan_id,customer_id,loan_amount,loan_type,loan_status
1,1,46765.95,Home,Active
2,1,24838.45,Home,Paid Off
3,1,32553.61,Vacation,Paid Off
4,1,1704.24,Home,Paid Off
5,1,1358.38,Home Improvement,Active
6,1,49922.08,Medical,Paid Off
7,1,14457.97,Personal,Active
8,2,1197.1,Auto,Active
9,3,43222.56,Auto,Paid Off
10,3,31598.01,Emergency,Paid Off
11,4,37582.51,Medical,Active
12,5,6147.83,Medical,Paid Off
13,6,27871.75,Education,Paid Off
14,6,17044.92,Home,Active
15,6,34894.59,Auto,Paid Off
16,6,28440.65,Home Improvement,Paid Off
17,6,39045.21,Home Improvement,Paid Off
18,6,20867.45,Green Energy,Active
19,6,3600.96,Debt Consolidation,Paid Off
20,7,38466.71,Home Improvement,Active
21,7,44260.53,Vacation,Active
22,7,40532.02,Personal,Active
23,7,13662.27,Emergency,Paid Off
24,8,38188.13,Vacation,Paid Off
25,8,34869.09,Personal,Active
26,9,26703.99,Vacation,Active
27,9,41185.92,Auto,Paid Off
28,9,25715.58,Debt Consolidation,Paid Off
29,11,42212.03,Auto,Active
30,11,23166.36,Green Energy,Paid Off
31,11,48369.96,Green Energy,Active
32,12,39709.55,Green Energy,Paid Off
33,12,22930.7,Business,Paid Off
34,13,15161.86,Personal,Paid Off
35,13,38485.91,Auto,Paid Off
36,13,45249.14,Personal,Active
37,14,48731.42,Personal,Paid Off
38,14,48884.34,Medical,Paid Off
39,14,27764.39,Emergency,Active
40,14,34837.55,Auto,Paid Off
41,14,22039.59,Home,Paid Off
42,14,44877.39,Home Improvement,Active
43,14,31739.61,Medical,Active
44,15,15257.75,Debt Consolidation,Active
45,15,29811.31,Emergency,Paid Off
46,17,46420.5,Debt Consolidation,Paid Off
47,17,14808.67,Vacation,Paid Off
48,17,14409.42,Emergency,Active
49,17,20531.67,Debt Consolidation,Active
50,18,26554.68,Medical,Paid Off
51,18,26027.5,Auto,Paid Off
52,18,12271.2,Emergency,Active
53,20,12660.36,Auto,Paid Off
54,23,43647.73,Personal,Active
55,23,36687.09,Green Energy,Paid Off
56,23,24667.43,Personal,Paid Off
57,23,49395.69,Education,Active
58,23,5786.21,Debt Consolidation,Active
59,23,1640.15,Green Energy,Paid Off
60,24,35412.94,Education,Active
61,24,46793.54,Vacation,Paid Off
62,25,20489.33,Green Energy,Active
63,25,27427.1,Vacation,Paid Off
64,25,9810.53,Personal,Paid Off
65,25,33606.21,Emergency,Paid Off
66,25,27896.45,Auto,Active
67,25,38025.38,Personal,Paid Off
68,26,15786.97,Personal,Active
69,26,27563.93,Vacation,Active
70,26,40985.73,Home,Active
71,28,42310.22,Education,Paid Off
72,29,21157.32,Home,Paid Off
73,29,38486.17,Vacation,Active
74,29,25728.56,Green Energy,Paid Off
75,29,3548.21,Personal,Active
76,29,20189.31,Business,Active
77,30,40692.85,Business,Paid Off
78,31,18014.34,Debt Consolidation,Active
79,31,7798.45,Auto,Paid Off
80,31,37022.87,Home Improvement,Paid Off
81,31,22589.09,Home Improvement,Active
82,31,34147.23,Personal,Active
83,31,5398.32,Medical,Active
84,31,30495.36,Education,Active
85,33,33326.6,Home,Paid Off
86,33,7010.5,Business,Paid Off
87,33,26326.23,Home Improvement,Paid Off
88,33,46156.66,Home,Paid Off
89,33,22612.19,Auto,Active
90,33,5798.82,Green Energy,Active
91,33,27433.19,Education,Active
92,36,35170.2,Education,Paid Off
93,36,22256.87,Vacation,Active
94,36,5560.52,Home,Active
95,37,35847.83,Personal,Active
96,39,21653.91,Home Improvement,Paid Off
97,39,17881.61,Medical,Active
98,39,36959.35,Medical,Active
99,39,9756.74,Home,Active
100,39,21617.28,Personal,Active
101,41,18797.13,Green Energy,Paid Off
102,41,2775.54,Auto,Active
103,41,29428.42,Debt Consolidation,Paid Off
104,41,35059.39,Vacation,Paid Off
105,41,5867.11,Personal,Paid Off
106,41,38636.98,Green Energy,Active
107,42,22937.01,Home,Active
