recipient_id,customer_id,campaign_id,response_status,response_date
1,704,1,Signed up,2023-09-07 23:56:48.716577
2,704,1,Unsubscribed,2023-11-29 10:08:16.140421
3,668,1,Signed up,2023-08-05 20:39:14.424750
4,668,1,Participated,2024-01-01 07:05:35.115635
5,668,1,Unsubscribed,2024-01-01 09:19:55.099129
6,179,1,Signed up,2023-10-12 11:08:07.339814
7,179,1,Unsubscribed,2023-12-08 17:35:58.981671
8,144,1,Signed up,2023-12-03 16:01:34.685765
9,144,1,Participated,2023-12-18 11:49:09.658455
10,144,1,Unsubscribed,2023-12-31 13:17:18.638527
11,408,1,Signed up,2023-09-17 16:32:36.985710
12,408,1,Participated,2023-12-25 05:33:35.147960
13,408,1,Participated,2023-12-31 23:09:04.362968
14,408,1,Participated,2024-01-02 11:00:53.637099
15,408,1,Unsubscribed,2024-01-05 09:13:57.076404
16,394,1,Signed up,2023-10-08 09:29:40.785639
17,394,1,Participated,2023-12-29 19:42:59.986414
18,394,1,Participated,2024-01-02 21:06:25.112379
19,394,1,Unsubscribed,2024-01-03 12:33:29.072538
20,14,1,Signed up,2023-11-12 15:59:15.792640
21,14,1,Participated,2023-11-21 23:39:14.119822
22,14,1,Unsubscribed,2024-01-02 21:53:51.536917
23,874,1,Signed up,2023-12-11 10:08:28.253718
24,874,1,Participated,2023-12-23 18:24:59.765666
25,874,1,Participated,2024-01-05 08:54:46.528999
26,874,1,Unsubscribed,2024-01-06 10:39:36.673543
27,742,1,Signed up,2023-08-15 01:27:20.905807
28,742,1,Unsubscribed,2023-10-09 04:16:05.377590
29,417,1,Signed up,2023-10-07 04:11:25.336777
30,417,1,Participated,2023-10-24 01:13:49.535906
31,417,1,Unsubscribed,2023-11-30 23:47:24.042794
32,316,1,Signed up,2023-12-12 08:45:51.375124
33,316,1,Participated,2023-12-30 03:33:02.914678
34,316,1,Participated,2024-01-01 18:02:45.569748
35,316,1,Participated,2024-01-08 18:21:15.724052
36,316,1,Participated,2024-01-08 18:59:40.147082
37,316,1,Participated,2024-01-08 21:15:30.785866
38,316,1,Unsubscribed,2024-01-08 21:30:42.798200
39,218,1,Signed up,2023-09-25 22:30:48.937199
40,218,1,Participated,2023-12-09 01:21:39.321124
41,218,1,Unsubscribed,2023-12-17 07:38:31.254076
42,130,1,Signed up,2023-12-30 16:36:31.047853
43,130,1,Participated,2024-01-02 11:55:45.241546
44,583,1,Signed up,2023-10-12 17:52:58.964662
45,583,1,Participated,2023-12-14 03:44:16.030519
46,583,1,Unsubscribed,2023-12-22 18:41:57.735355
47,628,1,Signed up,2023-09-10 12:07:49.589014
48,628,1,Participated,2023-10-29 14:01:43.338363
49,628,1,Unsubscribed,2024-01-06 21:32:21.428839
50,259,1,Signed up,2023-12-16 17:02:32.039817
51,259,1,Participated,2024-01-05 23:29:18.112589
52,259,1,Participated,2024-01-08 10:30:44.124743
53,259,1,Unsubscribed,2024-01-08 21:13:52.693442
54,455,1,Signed up,2023-08-28 00:21:01.135837
55,455,1,Participated,2024-01-06 05:10:53.409556
56,455,1,Unsubscribed,2024-01-07 17:35:21.815602
57,95,1,Signed up,2023-09-24 08:58:04.787953
58,95,1,Unsubscribed,2023-12-28 05:05:04.651075
59,192,1,Signed up,2023-07-29 17:46:42.100162
60,192,1,Unsubscribed,2023-11-27 09:52:31.848442
