transaction_id,account_id,transaction_amount,transaction_date,transaction_type,merchant_id
1,1,-498.07,2024-07-20 20:02:41.795378,Withdraw,49
2,1,2401.68,2024-06-18 09:25:07.730086,Withdraw,85
3,1,1094.91,2023-07-18 06:03:37.467140,Withdraw,90
4,1,-2083.51,2023-12-29 21:26:47.152651,Deposit,74
5,1,-2367.84,2024-09-17 20:08:35.663102,Deposit,95
6,1,-436.96,2024-02-09 02:05:38.686052,Withdraw,19
7,1,3504.59,2021-11-08 14:45:36.112121,Deposit,61
8,1,3833.49,2022-08-22 09:53:38.187413,Deposit,38
9,1,-3712.17,2022-02-08 12:27:03.166117,Deposit,12
10,1,-2920.17,2023-11-14 12:45:46.941641,Deposit,90
11,1,-4378.25,2024-09-17 16:32:55.515964,Deposit,72
12,1,-4888.89,2024-01-13 19:53:07.551176,Deposit,62
13,1,-4737.62,2024-09-20 13:32:03.928278,Deposit,61
14,1,-3950.44,2023-08-09 02:36:35.453679,Withdraw,31
15,1,-2359.14,2021-07-25 22:03:36.559538,Withdraw,96
16,2,3764.53,2023-08-06 07:15:35.161468,Deposit,27
17,2,-2740.47,2021-10-16 07:33:17.044248,Deposit,67
18,2,2500.06,2023-01-16 18:51:10.561826,Deposit,56
19,2,-3975.34,2022-04-13 04:27:12.222592,Deposit,42
20,2,-1701.54,2022-09-20 22:06:14.472224,Withdraw,73
21,2,-3930.22,2023-02-05 22:51:54.442376,Deposit,79
22,2,-2311.29,2023-12-10 08:15:39.875942,Withdraw,98
23,3,-948.19,2023-11-09 18:41:45.783446,Withdraw,55
24,3,-429.32,2020-07-31 11:46:37.326665,Withdraw,74
25,3,-4232.04,2020-07-06 18:06:11.498613,Deposit,95
26,3,3793.18,2020-07-10 04:04:04.495067,Deposit,5
27,3,451.43,2024-09-13 08:23:22.250286,Withdraw,32
28,3,-2573.58,2023-06-08 03:07:49.315361,Withdraw,18
29,3,-3253.02,2024-02-04 08:22:52.448187,Deposit,99
30,3,-3546.1,2024-01-19 12:29:28.833274,Withdraw,98
31,3,-4840.38,2024-02-19 23:42:14.015060,Withdraw,62
32,3,-382.83,2020-04-29 02:34:42.187588,Deposit,71
33,4,-3970.04,2024-06-22 09:49:23.476813,Deposit,77
34,4,1267.83,2024-08-14 05:40:02.913770,Withdraw,48
35,4,-321.1,2024-10-19 22:07:29.076383,Deposit,2
36,4,3149.94,2024-10-04 21:51:12.212951,Deposit,64
37,4,-4385.33,2024-08-17 08:04:20.170489,Deposit,33
38,4,-3501.63,2024-08-22 22:47:31.309521,Withdraw,61
39,4,1388.53,2024-08-25 07:50:20.032719,Withdraw,85
40,4,1643.18,2024-06-24 10:23:25.587521,Withdraw,77
41,5,-235.57,2024-09-06 23:50:14.095322,Deposit,55
42,5,-1451.94,2023-12-07 06:19:10.810742,Deposit,58
43,5,-2860.46,2023-07-20 23:17:24.640159,Withdraw,1
44,5,-951.25,2021-11-14 12:47:44.854147,Deposit,54
45,5,4916.44,2024-10-28 12:55:35.075439,Withdraw,35
46,5,540.0,2024-03-09 10:44:32.414028,Withdraw,18
47,5,4119.62,2022-09-22 11:23:13.541529,Deposit,16
48,5,4826.91,2022-01-06 23:59:11.077875,Deposit,66
49,5,656.2,2022-05-16 22:53:56.473843,Deposit,69
50,5,4010.67,2021-06-28 14:12:39.278859,Withdraw,38
51,5,3124.06,2023-03-26 01:00:43.218286,Withdraw,70
52,5,4045.39,2023-09-14 17:33:37.039131,Deposit,95
53,5,-1613.4,2021-10-26 08:06:18.848910,Withdraw,58
54,6,-4959.08,2023-03-14 02:19:13.274714,Deposit,52
55,6,3429.25,2024-10-03 21:57:26.424841,Withdraw,78
56,6,-2251.59,2022-04-03 22:44:13.983583,Withdraw,27
57,6,2529.87,2023-04-16 00:12:45.421996,Deposit,66
58,6,207.89,2022-04-08 16:27:27.035677,Withdraw,94
59,6,2705.9,2023-01-22 03:23:18.874958,Deposit,17
60,6,2933.41,2023-07-03 16:22:55.773056,Deposit,77
61,6,3295.46,2023-11-20 05:54:50.588855,Deposit,66
62,7,3363.5,2024-06-22 09:01:55.952625,Deposit,80
63,7,-2821.8,2022-10-23 09:36:22.202545,Deposit,8
64,7,-1387.01,2023-03-13 10:21:42.326234,Withdraw,73
65,7,-3676.24,2024-08-17 18:21:54.048461,Withdraw,19
66,7,-1847.1,2023-11-13 09:12:15.329245,Deposit,41
67,7,3249.27,2023-12-25 05:53:18.464768,Deposit,95
68,7,-3888.53,2024-09-10 20:43:01.701222,Deposit,42
69,7,-3947.69,2023-06-16 22:10:30.252216,Withdraw,8
70,7,-2065.52,2023-03-08 04:02:16.124953,Withdraw,4
71,7,1291.82,2022-06-09 14:05:51.964259,Withdraw,19
72,7,-2500.39,2023-04-06 04:38:39.150673,Deposit,72
73,7,1390.89,2023-09-01 19:13:29.787413,Withdraw,21
74,7,-4922.5,2023-01-11 02:29:36.636748,Deposit,38
75,7,-435.69,2022-08-14 07:20:41.116845,Deposit,87
76,7,235.56,2023-09-24 09:12:16.954271,Deposit,50
77,7,-2393.9,2022-10-09 23:04:54.495973,Withdraw,51
78,7,-757.3,2023-11-28 00:39:10.856552,Deposit,60
79,7,4490.67,2023-04-03 01:32:57.591596,Withdraw,43
80,8,4588.77,2023-05-25 02:49:26.124284,Withdraw,68
81,8,582.94,2021-09-29 01:50:36.033833,Withdraw,47
82,8,-2635.49,2023-04-28 19:07:44.981776,Withdraw,88
83,8,2894.02,2021-05-02 20:23:38.747478,Deposit,82
84,8,941.55,2022-12-08 20:28:29.167147,Withdraw,37
85,8,-1038.25,2023-02-22 01:29:27.734069,Withdraw,13
86,8,2950.28,2021-11-13 23:14:40.412533,Withdraw,69
87,8,-4451.48,2023-08-09 17:33:54.649729,Deposit,92
88,8,645.08,2022-09-03 15:34:02.194834,Withdraw,39
89,8,-3352.66,2023-07-10 05:26:26.025121,Deposit,64
90,8,2536.27,2021-09-06 01:55:01.319154,Withdraw,76
91,8,4980.64,2022-09-29 23:43:04.930593,Withdraw,62
92,8,2962.69,2023-09-21 06:21:39.252726,Deposit,61
93,9,-3457.96,2024-10-09 04:04:53.909988,Deposit,40
94,9,1130.39,2023-09-06 01:52:30.659282,Deposit,62
95,9,4528.03,2022-10-28 10:31:44.415917,Deposit,68
96,9,2792.43,2023-02-14 22:15:36.500070,Withdraw,57
97,9,-2601.56,2023-02-02 20:35:59.143022,Deposit,62
98,9,2754.31,2024-05-24 21:39:32.033328,Withdraw,70
99,9,2407.12,2022-12-11 11:18:21.673935,Deposit,45
100,9,1872.89,2024-08-16 15:40:44.539138,Withdraw,20
101,9,1030.82,2024-07-20 09:08:50.602290,Withdraw,79
102,9,3050.5,2024-07-22 16:28:59.291625,Deposit,73
103,9,-544.22,2023-11-14 23:45:38.044735,Withdraw,80
104,9,1614.26,2024-04-03 21:31:35.334901,Deposit,14
105,9,-4280.95,2024-05-27 02:11:44.293562,Deposit,43
106,10,-2957.91,2020-06-18 10:32:53.496032,Withdraw,71
107,10,-1066.81,2022-06-24 23:40:45.458828,Withdraw,34
108,10,4404.26,2020-07-24 07:30:44.117890,Deposit,36
109,10,714.94,2020-11-10 21:27:55.966482,Deposit,34
110,10,2738.01,2022-03-14 10:47:56.649533,Withdraw,69
111,10,-2356.45,2020-10-25 16:50:10.707120,Withdraw,40
112,10,-4983.91,2023-07-17 14:50:49.251653,Withdraw,48
113,10,-3354.98,2020-07-18 19:50:48.745122,Deposit,96
